Company,Symbol,Weight,Security,SEC_filings,GICS,GICS_Sub_Industry,Headquarters_Location,Date_First_Added,CIK,Founded
Agilent Technologies Inc.,A,0.117804,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999
American Airlines Group Inc.,AAL,0.028874,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934
Advance Auto Parts Inc.,AAP,0.038548,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932
Apple Inc.,AAPL,6.840133,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
AbbVie Inc.,ABBV,0.598127,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
AmerisourceBergen Corporation,ABC,0.048312,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1140859,1985
ABIOMED Inc.,ABMD,0.037046,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981
Abbott Laboratories,ABT,0.616986,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888
Accenture Plc Class A,ACN,0.630764,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
Adobe Inc.,ADBE,0.675321,Adobe,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
Analog Devices Inc.,ADI,0.233684,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965
Archer-Daniels-Midland Company,ADM,0.092712,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,7084,1902
Automatic Data Processing Inc.,ADP,0.250443,Automatic Data Processing,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,8670,1949
Autodesk Inc.,ADSK,0.156218,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397,1982
Ameren Corporation,AEE,0.057451,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902
American Electric Power Company Inc.,AEP,0.112677,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906
AES Corporation,AES,0.039934,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,874761,1981
Aflac Incorporated,AFL,0.088155,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,4977,1955
American International Group Inc.,AIG,0.113565,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,5272,1919
Assurant Inc.,AIZ,0.022406,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",2007-04-10,1267238,1892
Arthur J. Gallagher & Co.,AJG,0.087564,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927
Akamai Technologies Inc.,AKAM,0.047946,Akamai Technologies,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998
Albemarle Corporation,ALB,0.065848,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994
Align Technology Inc.,ALGN,0.112607,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1097149,1997
Alaska Air Group Inc.,ALK,0.01593,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",2016-05-13,766421,1985
Allstate Corporation,ALL,0.083232,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931
Allegion PLC,ALLE,0.028769,Allegion,reports,Industrials,Building Products,"New York City, New York",2013-12-02,1579241,1908
Applied Materials Inc.,AMAT,0.338502,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,6951,1967
Amcor PLC,AMCR,0.046155,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860)
Advanced Micro Devices Inc.,AMD,0.42471,Advanced Micro Devices,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969
AMETEK Inc.,AME,0.082938,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930
Amgen Inc.,AMGN,0.322087,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
Ameriprise Financial Inc.,AMP,0.083302,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894
American Tower Corporation,AMT,0.32678,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
Amazon.com Inc.,AMZN,3.768085,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994
Arista Networks Inc.,ANET,0.077908,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004
ANSYS Inc.,ANSS,0.08674,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969
Anthem Inc.,ANTM,0.276533,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,1156039,2014 (1946)
Aon Plc Class A,AON,0.165479,Aon,reports,Financials,Insurance Brokers,"London, UK",1996-04-23,315293,1982 (1919)
A. O. Smith Corporation,AOS,0.027249,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,91142,1916
APA Corp.,APA,0.02351,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,6769,1954
Air Products and Chemicals Inc.,APD,0.168553,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,2969,1940
Amphenol Corporation Class A,APH,0.125272,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932
Aptiv PLC,APTV,0.107076,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994
Alexandria Real Estate Equities Inc.,ARE,0.078432,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994
Atmos Energy Corporation,ATO,0.033524,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906
Activision Blizzard Inc.,ATVI,0.124046,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,718877,2008
